MCGS_TIME,MCGS_TIMEMS,Temp,PH,DO,NH4,CA,Salinity,Unnamed: 8,SensorID
6/22/2022 14:17,98,22.9,7.93,5.05,81.290001,4.98,0.22,472,Sensor-1
6/22/2022 14:17,98,22.9,7.93,5.04,81.290001,4.98,0.22,472,Sensor-2
6/22/2022 14:18,98,22.9,7.93,5.03,81.290001,4.98,0.22,472,Sensor-3
6/22/2022 14:18,98,22.9,7.93,5.04,81.290001,4.98,0.22,473,Sensor-4
6/22/2022 14:19,98,22.9,7.93,5.04,81.290001,4.98,0.22,472,Sensor-5
6/22/2022 14:19,99,22.9,7.92,5.04,81.290001,4.98,0.22,472,Sensor-6
6/22/2022 14:20,98,22.9,7.93,5.04,81.290001,4.98,0.22,472,Sensor-7
6/22/2022 14:20,98,22.9,7.92,5.04,81.290001,4.98,0.22,472,Sensor-8
6/22/2022 14:21,98,22.9,7.92,5.04,81.290001,4.96,0.22,472,Sensor-9
6/22/2022 14:21,99,22.9,7.92,5.03,81.290001,4.96,0.22,472,Sensor-10
6/22/2022 14:22,98,22.9,7.92,5.04,81.290001,4.96,0.22,472,Sensor-11
6/22/2022 14:22,98,22.9,7.92,5.02,81.290001,4.94,0.22,472,Sensor-12
6/22/2022 14:23,98,22.9,7.92,5.02,81.290001,4.94,0.22,472,Sensor-13
6/22/2022 14:23,98,22.9,7.92,5.02,81.290001,4.94,0.22,472,Sensor-14
6/22/2022 14:24,98,22.9,7.92,5.02,81.290001,4.94,0.22,472,Sensor-15
6/22/2022 14:24,98,22.9,7.91,5.02,81.290001,4.94,0.22,472,Sensor-16
6/22/2022 14:25,98,22.9,7.92,5.01,81.989998,4.94,0.22,472,Sensor-17
6/22/2022 14:25,98,22.9,7.92,5.0,82.260002,4.94,0.22,472,Sensor-18
6/22/2022 14:26,98,22.9,7.93,5.01,82.260002,4.94,0.22,472,Sensor-19
6/22/2022 14:26,98,22.9,7.93,5.01,82.260002,4.94,0.22,472,Sensor-20
6/22/2022 14:27,98,22.9,7.93,5.0,82.260002,4.94,0.22,472,Sensor-21
6/22/2022 14:27,98,22.9,7.93,5.01,82.260002,4.94,0.22,473,Sensor-22
6/22/2022 14:28,98,22.9,7.93,5.02,82.260002,4.94,0.22,472,Sensor-23
6/22/2022 14:28,98,22.9,7.93,5.02,82.260002,4.94,0.22,472,Sensor-24
6/22/2022 14:29,98,22.9,7.93,5.02,82.260002,4.94,0.22,473,Sensor-25
6/22/2022 14:29,98,22.9,7.93,5.02,82.260002,4.94,0.22,473,Sensor-26
6/22/2022 14:30,98,22.9,7.93,5.02,81.550003,4.94,0.22,472,Sensor-27
6/22/2022 14:30,98,22.9,7.93,5.01,81.550003,4.94,0.22,473,Sensor-28
6/22/2022 14:31,98,22.9,7.94,5.01,81.550003,4.94,0.22,472,Sensor-29
6/22/2022 14:31,99,22.9,7.93,5.01,81.550003,4.94,0.22,473,Sensor-30
6/22/2022 14:32,98,22.9,7.93,5.01,81.550003,4.94,0.22,472,Sensor-31
6/22/2022 14:32,98,22.9,7.93,5.01,82.260002,4.94,0.22,472,Sensor-32
6/22/2022 14:33,98,22.9,7.93,5.01,81.550003,4.94,0.22,472,Sensor-33
6/22/2022 14:33,98,22.9,7.93,5.01,81.550003,4.94,0.22,472,Sensor-34
6/22/2022 14:34,98,22.9,7.93,5.0,81.550003,4.94,0.22,473,Sensor-35
6/22/2022 14:34,98,22.9,7.93,5.01,81.550003,4.94,0.22,472,Sensor-36
6/22/2022 14:35,98,22.9,7.93,5.0,81.550003,4.94,0.22,473,Sensor-37
6/22/2022 14:35,98,22.9,7.93,5.0,81.550003,4.94,0.22,472,Sensor-38
